341|	|2011
~~290|	|2566
~~328|	|2566
~~338|	|2566
~~424|	|2566
~~519|	|2566
~~686|	|2566
~~687|	|2566
~~189|	|2573
~~228|	|2573
~~244|	|2573
~~276|	|2573
~~288|	|2573
~~289|	|2573
~~293|	|2573
~~313|	|2573
~~323|	|2573
~~344|	|2573
~~458|	|2573
~~467|	|2573
~~541|	|2573
~~542|	|2573
~~552|	|2573
~~553|	|2573
~~554|	|2573
~~704|	|2573
~~316|	|2575
~~322|	|2576
~~195|	|2577
~~360|	|2577
~~450|	|2577
~~455|	|2577
~~518|	|2577
~~191|	|2580
~~198|	|2580
~~199|	|2580
~~238|	|2580
~~245|	|2580
~~256|	|2580
~~258|	|2580
~~267|	|2580
~~268|	|2580
~~274|	|2580
~~312|	|2580
~~327|	|2580
~~335|	|2580
~~414|	|2580
~~415|	|2580
~~459|	|2580
~~680|	|2580
~~278|	|2581
~~287|	|2581
~~295|	|2581
~~302|	|2581
~~197|	|2582
~~243|	|2582
~~259|	|2582
~~281|	|2582
~~304|	|2582
~~333|	|2582
~~412|	|2582
~~413|	|2582
~~460|	|2582
~~470|	|2582
~~201|	|2583
~~271|	|2583
~~279|	|2584
~~282|	|2584
~~291|	|2584
~~334|	|2584
~~682|	|2584
~~705|	|2584
~~186|	|2585
~~227|	|2585
~~247|	|2585
~~280|	|2585
~~292|	|2585
~~321|	|2585
~~343|	|2585
~~426|	|2585
~~447|	|2585
~~448|	|2585
~~456|	|2585
~~457|	|2585
~~462|	|2585
~~484|	|2585
~~485|	|2585
~~540|	|2585
~~548|	|2585
~~549|	|2585
~~550|	|2585
~~551|	|2585
~~669|	|2585
~~685|	|2585
~~690|	|2585
~~691|	|2585
~~699|	|2585
~~702|	|2585
~~703|	|2585
~~210|	|2587
~~232|	|2587
~~236|	|2587
~~300|	|2587
~~345|	|2587
~~422|	|2587
~~425|	|2587
~~452|	|2587
~~453|	|2587
~~454|	|2587
~~464|	|2587
~~465|	|2587
~~466|	|2587
~~480|	|2587
~~481|	|2587
~~520|	|2587
~~521|	|2587
~~679|	|2587
~~681|	|2587
~~700|	|2587
~~192|	|2589
~~332|	|2589
~~364|	|2589
~~365|	|2589
~~367|	|2589
~~372|	|2589
~~387|	|2589
~~390|	|2589
~~393|	|2589
~~395|	|2589
~~396|	|2589
~~397|	|2589
~~398|	|2589
~~401|	|2589
~~402|	|2589
~~423|	|2589
~~449|	|2589
~~451|	|2589
~~463|	|2589
~~468|	|2589
~~469|	|2589
~~471|	|2589
~~479|	|2589
~~482|	|2589
~~483|	|2589
~~493|	|2589
~~498|	|2589
~~514|	|2589
~~522|	|2589
~~523|	|2589
~~524|	|2589
~~569|	|2589
~~674|	|2589
~~675|	|2589
~~676|	|2589
~~688|	|2589
~~689|	|2589
~~692|	|2589
~~693|	|2589
~~694|	|2589
~~696|	|2589
~~698|	|2589
~~701|	|2589
~~706|	|2589
~~707|	|2589
~~708|	|2589
~~294|	|2609
~~346|	|2609
~~193|	|2610
~~240|	|2610
~~246|	|2610
~~249|	|2610
~~339|	|2610
~~496|	|2610
~~510|	|2610
~~512|	|2610
~~668|	|2610
~~671|	|2610
~~683|	|2610
~~187|	|2611
~~188|	|2611
~~473|	|2611
~~204|	|2612
~~363|	|2612
~~203|	|2613
~~366|	|2613
~~378|	|2613
~~379|	|2613
~~399|	|2613
~~400|	|2613
~~513|	|2613
~~427|	|2656
~~428|	|2656
~~429|	|2656
~~430|	|2656
~~431|	|2656
~~432|	|2656
~~433|	|2656
~~434|	|2656
~~435|	|2656
~~436|	|2656
~~437|	|2656
~~438|	|2656
~~439|	|2656
~~440|	|2656
~~441|	|2656
~~442|	|2656
~~443|	|2656
~~194|	|2702
~~495|	|2702
~~497|	|2702
~~509|	|2702
~~511|	|2702
~~667|	|2702
~~670|	|2702
~~672|	|2702
~~684|	|2702
~~444|	|2713
~~445|	|2713
~~446|	|2713
~~472|	|2738
~~474|	|2738
~~475|	|2738
~~476|	|2738
~~477|	|2738
~~478|	|2738
~~515|	|2738
~~516|	|2738
~~525|	|2738
~~535|	|2770
~~536|	|2770
~~537|	|2770
~~538|	|2770
~~539|	|2770
~~561|	|2770
~~563|	|2770
~~555|	|2775
~~556|	|2775
~~557|	|2775
~~558|	|2775
~~559|	|2775
~~560|	|2775
~~562|	|2775
~~564|	|2775
~~655|	|2775
~~656|	|2775
~~565|	|2776
~~566|	|2776
~~657|	|2776
~~658|	|2776
~~659|	|2776
~~709|	|2857
~~710|	|2858
~~711|	|2859
~~
